#  This is a file for the AB reference system.
#  
#  
#  The columns are: wavelengths, flux reference.
#  With the following units:
#      Angstroms        ,   ergs/s/cm^2/Angstrom
1.204000000000000000e+03 , 7.509205299872517773e-08
1.205000000000000000e+03 , 7.496747060126374008e-08
1.206000000000000000e+03 , 7.484319798176062198e-08
1.207000000000000000e+03 , 7.471923411403650632e-08
1.208000000000000000e+03 , 7.459557797615784188e-08
1.209000000000000000e+03 , 7.447222855041556162e-08
1.210000000000000000e+03 , 7.434918482330439656e-08
1.211000000000000000e+03 , 7.422644578550185873e-08
1.212000000000000000e+03 , 7.410401043184763450e-08
1.213000000000000000e+03 , 7.398187776132295139e-08
1.214000000000000000e+03 , 7.386004677703019626e-08
1.215000000000000000e+03 , 7.373851648617248075e-08
1.216000000000000000e+03 , 7.361728590003352416e-08
1.217000000000000000e+03 , 7.349635403395744382e-08
1.218000000000000000e+03 , 7.337571990732875714e-08
1.219000000000000000e+03 , 7.325538254355260873e-08
1.220000000000000000e+03 , 7.313534097003493126e-08
1.221000000000000000e+03 , 7.301559421816276519e-08
1.222000000000000000e+03 , 7.289614132328477701e-08
1.223000000000000000e+03 , 7.277698132469183043e-08
1.224000000000000000e+03 , 7.265811326559762374e-08
1.225000000000000000e+03 , 7.253953619311952567e-08
1.226000000000000000e+03 , 7.242124915825945099e-08
1.227000000000000000e+03 , 7.230325121588490813e-08
1.228000000000000000e+03 , 7.218554142471006010e-08
1.229000000000000000e+03 , 7.206811884727703676e-08
1.230000000000000000e+03 , 7.195098254993719427e-08
1.231000000000000000e+03 , 7.183413160283257295e-08
1.232000000000000000e+03 , 7.171756507987750087e-08
1.233000000000000000e+03 , 7.160128205874013110e-08
1.234000000000000000e+03 , 7.148528162082433641e-08
1.235000000000000000e+03 , 7.136956285125144514e-08
1.236000000000000000e+03 , 7.125412483884226817e-08
1.237000000000000000e+03 , 7.113896667609916570e-08
1.238000000000000000e+03 , 7.102408745918816690e-08
1.239000000000000000e+03 , 7.090948628792126158e-08
1.240000000000000000e+03 , 7.079516226573879786e-08
1.241000000000000000e+03 , 7.068111449969189295e-08
1.242000000000000000e+03 , 7.056734210042498957e-08
1.243000000000000000e+03 , 7.045384418215861092e-08
1.244000000000000000e+03 , 7.034061986267200971e-08
1.245000000000000000e+03 , 7.022766826328606868e-08
1.246000000000000000e+03 , 7.011498850884628057e-08
1.247000000000000000e+03 , 7.000257972770574122e-08
1.248000000000000000e+03 , 6.989044105170836780e-08
1.249000000000000000e+03 , 6.977857161617203753e-08
1.250000000000000000e+03 , 6.966697055987199110e-08
1.251000000000000000e+03 , 6.955563702502424942e-08
1.252000000000000000e+03 , 6.944457015726912286e-08
1.253000000000000000e+03 , 6.933376910565480008e-08
1.254000000000000000e+03 , 6.922323302262106904e-08
1.255000000000000000e+03 , 6.911296106398310431e-08
1.256000000000000000e+03 , 6.900295238891536017e-08
1.257000000000000000e+03 , 6.889320615993552997e-08
1.258000000000000000e+03 , 6.878372154288862450e-08
1.259000000000000000e+03 , 6.867449770693105046e-08
1.260000000000000000e+03 , 6.856553382451498005e-08
